7
loading data
mean of input data
[27.73478675  2.49622512  0.6725357 ]
min of input data
[-359.89138085    0.         -358.15238973]
max of input data
[357.88102783  12.39961693 357.95459151]
done loading data
WARNING:tensorflow:From /tmp/op_blocks/fc_layer.py:9: __init__ (from tensorflow.python.ops.init_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.initializers.variance_scaling instead with distribution=uniform to get equivalent behavior.
2019-01-03 23:17:41.226499: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-01-03 23:17:41.308921: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-01-03 23:17:41.309535: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: Quadro M5000 major: 5 minor: 2 memoryClockRate(GHz): 1.038
pciBusID: 0000:01:00.0
totalMemory: 7.94GiB freeMemory: 7.39GiB
2019-01-03 23:17:41.309554: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-01-03 23:17:41.518445: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-01-03 23:17:41.518485: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-01-03 23:17:41.518492: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-01-03 23:17:41.518867: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 7127 MB memory) -> physical GPU (device: 0, name: Quadro M5000, pci bus id: 0000:01:00.0, compute capability: 5.2)
It: 0 Loss: 1490.97900391, LR: 0.0001
It: 100 Loss: 1509.51196289, LR: 9.95012479193e-05
It: 200 Loss: 2977.875, LR: 9.90049833749e-05
It: 300 Loss: 1495.75170898, LR: 9.85111939603e-05
It: 400 Loss: 1509.21337891, LR: 9.80198673307e-05
It: 500 Loss: 1011.16741943, LR: 9.75309912028e-05
It: 600 Loss: 3968.85327148, LR: 9.70445533549e-05
It: 700 Loss: 2513.34790039, LR: 9.65605416258e-05
It: 800 Loss: 1495.24243164, LR: 9.60789439152e-05
It: 900 Loss: 1937.37512207, LR: 9.55997481833e-05
It: 1000 Loss: 2461.72509766, LR: 9.51229424501e-05
It: 1100 Loss: 1481.38000488, LR: 9.46485147953e-05
It: 1200 Loss: 4368.46142578, LR: 9.41764533584e-05
It: 1300 Loss: 2455.68115234, LR: 9.37067463377e-05
It: 1400 Loss: 2422.46484375, LR: 9.32393819906e-05
It: 1500 Loss: 5325.26953125, LR: 9.27743486329e-05
It: 1600 Loss: 3929.27441406, LR: 9.23116346387e-05
It: 1700 Loss: 1938.69946289, LR: 9.18512284401e-05
It: 1800 Loss: 1987.14208984, LR: 9.13931185271e-05
It: 1900 Loss: 2471.64672852, LR: 9.09372934468e-05
It: 2000 Loss: 2999.7265625, LR: 9.04837418036e-05
It: 2100 Loss: 999.054260254, LR: 9.00324522586e-05
It: 2200 Loss: 1874.60241699, LR: 8.95834135297e-05
It: 2300 Loss: 1406.74267578, LR: 8.91366143907e-05
It: 2400 Loss: 2887.85083008, LR: 8.86920436717e-05
It: 2500 Loss: 1965.07910156, LR: 8.82496902585e-05
It: 2600 Loss: 1349.33764648, LR: 8.78095430921e-05
It: 2700 Loss: 768.648803711, LR: 8.73715911688e-05
It: 2800 Loss: 3023.01220703, LR: 8.69358235399e-05
It: 2900 Loss: 1410.00439453, LR: 8.65022293111e-05
It: 3000 Loss: 1428.84399414, LR: 8.60707976425e-05
It: 3100 Loss: 1796.47155762, LR: 8.56415177484e-05
It: 3200 Loss: 1740.66381836, LR: 8.52143788966e-05
It: 3300 Loss: 3355.11230469, LR: 8.47893704088e-05
It: 3400 Loss: 239.741333008, LR: 8.43664816596e-05
It: 3500 Loss: 750.404052734, LR: 8.39457020769e-05
It: 3600 Loss: 934.149902344, LR: 8.35270211411e-05
It: 3700 Loss: 676.202514648, LR: 8.31104283852e-05
It: 3800 Loss: 1009.98590088, LR: 8.26959133943e-05
It: 3900 Loss: 1527.23388672, LR: 8.22834658056e-05
It: 4000 Loss: 461.073822021, LR: 8.18730753078e-05
It: 4100 Loss: 337.038757324, LR: 8.14647316411e-05
It: 4200 Loss: 1148.55981445, LR: 8.1058424597e-05
